Job Role,Skill,Percentage
data consultant data,data analysis,5.06
data data,Regression,100.0
data data,Tableau,100.0
data data,Pattern,100.0
data data,Hadoop,100.0
data data,TensorFlow,100.0
data data,MongoDB,100.0
data data,Excel,100.0
data data,Spark,100.0
data data,BigQuery,100.0
data data,Google Cloud,100.0
data designer,R,100.0
data designer,Tableau,100.0
data designer,SQL,100.0
data designer,Excel,100.0
data designer,data,24.84
data designer,model,13.88
data designer,data model,11.26
data designer,agile,10.0
data designer,sql,8.78
data designer,data analysis,7.27
data developer,Tableau,100.0
data developer,Hadoop,100.0
data developer,MongoDB,100.0
data developer,Excel,100.0
data developer,Spark,100.0
data developer,BigQuery,100.0
data developer,Google Cloud,100.0
data developer,Snowflake,100.0
data developer,Jupyter,100.0
data developer,AWS,100.0
data manager,Regression,100.0
data manager,Sustainability,100.0
data manager,Tableau,100.0
data manager,Pattern,100.0
data manager,Hadoop,100.0
data manager,Principal Component Analysis,100.0
data manager,Matrix,100.0
data manager,TensorFlow,100.0
data manager,MongoDB,100.0
data manager,Excel,100.0
data manager data,Tableau,100.0
data manager data,Hadoop,100.0
data manager data,TensorFlow,100.0
data manager data,Excel,100.0
data manager data,Spark,100.0
data manager data,adobe,100.0
data manager data,AWS,100.0
data manager data,SQL,100.0
data manager data,R,100.0
data manager data,Python,100.0
data marketing,Tableau,100.0
data marketing,Excel,100.0
data marketing,Google Cloud,100.0
data marketing,AWS,100.0
data marketing,SQL,100.0
data marketing,R,100.0
data marketing,Python,100.0
data marketing,Azure,100.0
data marketing,Power BI,100.0
data marketing,SAS,100.0
data operator,R,100.0
data operator,adobe,100.0
data operator,Ethics,100.0
data operator,GAN,100.0
data operator,Excel,100.0
data operator,data entry,17.92
data operator,entry,17.67
data operator,data,15.06
data operator,attention detail,7.65
data operator,attention,7.65
data programmer,R,100.0
data programmer,Python,100.0
data programmer,Tableau,100.0
data programmer,Hadoop,100.0
data programmer,SQL,100.0
data programmer,SAS,100.0
data programmer,Spark,100.0
data programmer,price,22.05
data programmer,data,17.28
data programmer,machine,10.89
data researcher,R,100.0
data researcher,Python,100.0
data researcher,GAN,100.0
data researcher,Excel,100.0
data researcher,data,27.26
data researcher,research,14.23
data researcher,methodologies,12.92
data researcher,analysis,9.36
data researcher,technologies,6.5
data researcher,machine,6.3
data sales,R,100.0
data sales,Ethics,100.0
data sales,GAN,100.0
data sales,data,31.71
data sales,governance,15.21
data sales,sales,12.75
data sales,insurance,7.48
data sales,business,6.55
data sales,cloud,5.78
data sales,management,5.26
designer,Regression,100.0
designer,Sustainability,100.0
designer,Tableau,100.0
designer,Pattern,100.0
designer,Hadoop,100.0
designer,Matrix,100.0
designer,TensorFlow,100.0
designer,MongoDB,100.0
designer,Excel,100.0
designer,Spark,100.0
designer administrator,R,100.0
designer administrator,project,27.75
designer administrator,equipment,11.02
designer administrator,autocad,9.98
designer administrator,industrial,9.7
designer administrator,manufacture,8.51
designer administrator,coordination,7.58
designer administrator,certification,6.96
designer administrator,engineer,6.66
designer administrator,process,6.21
designer consultant,R,100.0
designer consultant,adobe,100.0
designer consultant,GAN,100.0
designer consultant,adobe,15.52
designer consultant,sales,12.08
designer consultant,technical,11.73
designer consultant,service,10.52
designer consultant,consultative,9.29
designer consultant,technical write,8.6
designer consultant,management project management,8.29
designer data,R,100.0
designer data,Pattern,100.0
designer data,Hadoop,100.0
designer data,Spark,100.0
designer data,user,15.54
designer data,product,14.28
designer data,research,12.37
designer data,data,11.85
designer data,healthcare,8.26
designer data,development,7.93
designer designer,Sustainability,100.0
designer designer,R,100.0
designer designer,adobe,100.0
designer designer,Pattern,100.0
designer designer,GAN,100.0
designer designer,Excel,100.0
designer designer,autocad,18.24
designer designer,management,14.32
designer designer,engineer,12.16
designer designer,project,9.76
designer developer,R,100.0
designer developer,adobe,100.0
designer developer,Tableau,100.0
designer developer,Excel,100.0
designer developer,adobe,22.08
designer developer,web,16.42
designer developer,research,9.92
designer developer,javascript,9.25
designer developer,creative,8.41
designer developer,management,7.94
designer manager,Excel,100.0
designer manager,Google Cloud,100.0
designer manager,adobe,100.0
designer manager,AWS,100.0
designer manager,SQL,100.0
designer manager,R,100.0
designer manager,Python,100.0
designer manager,Azure,100.0
designer manager,GAN,100.0
designer manager,user,15.37
designer marketing,R,100.0
designer marketing,adobe,100.0
designer marketing,GAN,100.0
designer marketing,creative,16.05
designer marketing,brand,15.27
designer marketing,management,10.2
designer marketing,adobe,9.92
designer marketing,communication,9.73
designer marketing,visual,9.48
designer marketing,production,8.54
designer operator,R,100.0
designer operator,adobe,100.0
designer operator,GAN,100.0
designer operator,management,13.14
designer operator,customer,11.77
designer operator,productivity,11.05
designer operator,satisfaction,10.85
designer operator,collaborative,9.8
designer operator,management customer service,9.3
designer operator,detailoriented,8.52
designer programmer,R,100.0
designer programmer,adobe,100.0
designer programmer,Excel,100.0
designer programmer,software,12.67
designer programmer,tool,12.38
designer programmer,principles,11.01
designer programmer,management systems,10.07
designer programmer,experience,9.73
designer programmer,javascript,9.52
designer programmer,adobe,9.09
designer researcher,R,100.0
designer researcher,adobe,100.0
designer researcher,experience,18.57
designer researcher,user,15.57
designer researcher,research,12.39
designer researcher,interview,12.31
designer researcher,adobe,8.28
designer researcher,creative,7.88
designer researcher,study,6.45
designer researcher,data,6.33
designer sales,R,100.0
designer sales,GAN,100.0
designer sales,Excel,100.0
designer sales,sales,11.57
designer sales,communication,11.51
designer sales,order,11.44
designer sales,pay,10.61
designer sales,customer,10.27
designer sales,health,9.85
designer sales,site,9.37
designer sales manager,R,100.0
designer sales manager,insurance,24.99
designer sales manager,assistance,11.95
designer sales manager,employee,10.81
designer sales manager,program,8.23
designer sales manager,retail experience,7.62
designer sales manager,physical strength,7.46
designer sales manager,strength,7.38
designer sales manager,flexible spend account,7.24
designer sales manager,insurance pay,7.16
developer,Regression,100.0
developer,Sustainability,100.0
developer,Tableau,100.0
developer,SVM,100.0
developer,chatbot,100.0
developer,Hadoop,100.0
developer,Pattern,100.0
developer,Matrix,100.0
developer,TensorFlow,100.0
developer,Django,100.0
developer administrator,Tableau,100.0
developer administrator,Django,100.0
developer administrator,MongoDB,100.0
developer administrator,Flask,100.0
developer administrator,Excel,100.0
developer administrator,SQL,100.0
developer administrator,Docker,100.0
developer administrator,R,100.0
developer administrator,Python,100.0
developer administrator,IBM,100.0
developer analyst,Regression,100.0
developer analyst,Tableau,100.0
developer analyst,Pattern,100.0
developer analyst,Excel,100.0
developer analyst,Google Cloud,100.0
developer analyst,AWS,100.0
developer analyst,SQL,100.0
developer analyst,Docker,100.0
developer analyst,R,100.0
developer analyst,Python,100.0
developer banking,R,100.0
developer banking,Azure,100.0
developer banking,Power BI,100.0
developer banking,AWS,100.0
developer banking,SQL,100.0
developer banking,SAS,100.0
developer banking,Excel,100.0
developer banking,Snowflake,100.0
developer banking,data,27.63
developer banking,sql,15.62
developer consultant,Excel,100.0
developer consultant,AWS,100.0
developer consultant,SQL,100.0
developer consultant,Docker,100.0
developer consultant,R,100.0
developer consultant,Python,100.0
developer consultant,Azure,100.0
developer consultant,MySQL,100.0
developer consultant,GAN,100.0
developer consultant,java,26.18
developer data,Tableau,100.0
developer data,Hadoop,100.0
developer data,GAN,100.0
developer data,MongoDB,100.0
developer data,Excel,100.0
developer data,Spark,100.0
developer data,Snowflake,100.0
developer data,AWS,100.0
developer data,Pandas,100.0
developer data,NumPy,100.0
developer designer,R,100.0
developer designer,adobe,100.0
developer designer,SAS,100.0
developer designer,Excel,100.0
developer designer,GAN,100.0
developer designer,web,17.55
developer designer,content,16.03
developer designer,intelligence,10.23
developer designer,management,9.7
developer designer,development,9.66
developer developer,Pattern,100.0
developer developer,TensorFlow,100.0
developer developer,MongoDB,100.0
developer developer,Cybersecurity,100.0
developer developer,AWS,100.0
developer developer,SQL,100.0
developer developer,PyTorch,100.0
developer developer,Docker,100.0
developer developer,R,100.0
developer developer,Python,100.0
developer manager,R,100.0
developer manager,Azure,100.0
developer manager,MySQL,100.0
developer manager,AWS,100.0
developer manager,SQL,100.0
developer manager,development,12.48
developer manager,technical,12.29
developer manager,management,10.86
developer manager,content,10.35
developer manager,software,10.2
developer marketing,R,100.0
developer marketing,adobe,100.0
developer marketing,AWS,100.0
developer marketing,implementation,25.7
developer marketing,technical,19.67
developer marketing,development,16.65
developer marketing,aws,13.54
developer marketing,adobe,13.02
developer marketing,documentation,11.43
developer marketing,platform,0.0
developer programmer,Hadoop,100.0
developer programmer,Excel,100.0
developer programmer,Spark,100.0
developer programmer,adobe,100.0
developer programmer,AWS,100.0
developer programmer,SQL,100.0
developer programmer,R,100.0
developer programmer,Python,100.0
developer programmer,Azure,100.0
developer programmer,MySQL,100.0
developer programmer analyst,R,100.0
developer programmer analyst,Azure,100.0
developer programmer analyst,SQL,100.0
developer programmer analyst,GAN,100.0
developer programmer analyst,server,17.52
developer programmer analyst,sql,14.02
developer programmer analyst,systems,12.7
developer programmer analyst,web,10.72
developer programmer analyst,management,8.89
developer programmer analyst,software,8.04
developer researcher,R,100.0
developer researcher,Python,100.0
developer researcher,trade,19.77
developer researcher,accountability,10.29
developer researcher,asset,9.81
developer researcher,investment,9.44
developer researcher,ethic,9.18
developer researcher,statistics,8.99
developer researcher,advance,8.37
developer researcher,computer science,8.31
manager,Regression,100.0
manager,Sustainability,100.0
manager,Tableau,100.0
manager,SVM,100.0
manager,chatbot,100.0
manager,Hadoop,100.0
manager,Matrix,100.0
manager,TensorFlow,100.0
manager,Principal Component Analysis,100.0
manager,Pattern,100.0
manager accountant,R,100.0
manager accountant,AWS,100.0
manager accountant,GAN,100.0
manager accountant,Excel,100.0
manager accountant,Ethics,100.0
manager accountant,account,26.04
manager accountant,tax,21.26
manager accountant,management,10.94
manager accountant,financial,9.56
manager accountant,cpa,5.94
manager administrator,Tableau,100.0
manager administrator,Excel,100.0
manager administrator,adobe,100.0
manager administrator,AWS,100.0
manager administrator,SQL,100.0
manager administrator,Docker,100.0
manager administrator,R,100.0
manager administrator,Kubernetes,100.0
manager administrator,SAS,100.0
manager administrator,GAN,100.0
manager analyst,Sustainability,100.0
manager analyst,R,100.0
manager analyst,Tableau,100.0
manager analyst,Power BI,100.0
manager analyst,GAN,100.0
manager analyst,Excel,100.0
manager analyst,Ethics,100.0
manager analyst,management,20.13
manager analyst,analysis,12.13
manager analyst,business,10.74
manager auditor,Sustainability,100.0
manager auditor,R,100.0
manager auditor,adobe,100.0
manager auditor,Excel,100.0
manager auditor,Ethics,100.0
manager auditor,audit,27.65
manager auditor,cpa,11.51
manager auditor,account,11.47
manager auditor,government,7.97
manager auditor,medical dental vision,7.59
manager banking,Sustainability,100.0
manager banking,Excel,100.0
manager banking,AWS,100.0
manager banking,SQL,100.0
manager banking,Docker,100.0
manager banking,R,100.0
manager banking,Python,100.0
manager banking,Azure,100.0
manager banking,Kubernetes,100.0
manager banking,GAN,100.0
manager banking marketing,R,100.0
manager banking marketing,market,21.12
manager banking marketing,spanish,11.66
manager banking marketing,advertise,10.76
manager banking marketing,communications,10.6
manager banking marketing,brand,10.44
manager banking marketing,creative,9.04
manager banking marketing,plan,7.01
manager banking marketing,write,6.71
manager banking marketing,project management,6.56
manager consultant,Sustainability,100.0
manager consultant,Tableau,100.0
manager consultant,Matrix,100.0
manager consultant,Threats,100.0
manager consultant,Excel,100.0
manager consultant,SQL,100.0
manager consultant,R,100.0
manager consultant,Azure,100.0
manager consultant,Power BI,100.0
manager consultant,SAS,100.0
manager data,Regression,100.0
manager data,Sustainability,100.0
manager data,Tableau,100.0
manager data,SVM,100.0
manager data,Pattern,100.0
manager data,Hadoop,100.0
manager data,Matrix,100.0
manager data,TensorFlow,100.0
manager data,MongoDB,100.0
manager data,Threats,100.0
manager data analyst,Python,100.0
manager data analyst,R,100.0
manager data analyst,Tableau,100.0
manager data analyst,Power BI,100.0
manager data analyst,SQL,100.0
manager data analyst,Excel,100.0
manager data analyst,data,41.98
manager data analyst,analysis,8.01
manager data analyst,data visualization,6.89
manager data analyst,visualization,6.74
manager data consultant,R,100.0
manager data consultant,Python,100.0
manager data consultant,Hadoop,100.0
manager data consultant,Spark,100.0
manager data consultant,SQL,100.0
manager data consultant,Snowflake,100.0
manager data consultant,Google Cloud,100.0
manager data consultant,data,38.79
manager data consultant,sql,9.97
manager data consultant,share,7.07
manager data data,R,100.0
manager data data,Python,100.0
manager data data,Azure,100.0
manager data data,Power BI,100.0
manager data data,AWS,100.0
manager data data,SQL,100.0
manager data data,GAN,100.0
manager data data,data,22.52
manager data data,analytics,12.35
manager data data,share,9.03
manager designer,Python,100.0
manager designer,Sustainability,100.0
manager designer,R,100.0
manager designer,adobe,100.0
manager designer,GAN,100.0
manager designer,management,21.38
manager designer,retail,9.57
manager designer,project,9.16
manager designer,development,9.12
manager designer,need,8.77
manager developer,Pattern,100.0
manager developer,Excel,100.0
manager developer,adobe,100.0
manager developer,AWS,100.0
manager developer,SQL,100.0
manager developer,Docker,100.0
manager developer,R,100.0
manager developer,Python,100.0
manager developer,IBM,100.0
manager developer,Azure,100.0
manager manager,Sustainability,100.0
manager manager,Tableau,100.0
manager manager,Matrix,100.0
manager manager,Threats,100.0
manager manager,Excel,100.0
manager manager,Spark,100.0
manager manager,Ethics,100.0
manager manager,Google Cloud,100.0
manager manager,Jupyter,100.0
manager manager,PCA,100.0
manager manager accountant,R,100.0
manager manager accountant,account,17.2
manager manager accountant,tax,13.24
manager manager accountant,leave,12.07
manager manager accountant,statement,9.26
manager manager accountant,cpa,8.63
manager manager accountant,action,8.44
manager manager accountant,initiative,7.99
manager manager accountant,mentor,7.89
manager manager accountant,service,7.87
manager marketing,Regression,100.0
manager marketing,Sustainability,100.0
manager marketing,Tableau,100.0
manager marketing,Pattern,100.0
manager marketing,Matrix,100.0
manager marketing,Excel,100.0
manager marketing,Spark,100.0
manager marketing,Ethics,100.0
manager marketing,BigQuery,100.0
manager marketing,Google Cloud,100.0
manager marketing marketing,R,100.0
manager marketing marketing,adobe,100.0
manager marketing marketing,GAN,100.0
manager marketing marketing,development,17.46
manager marketing marketing,strategies,16.23
manager marketing marketing,performance,9.79
manager marketing marketing,market,8.68
manager marketing marketing,brand,8.58
manager marketing marketing,commercial,8.23
manager marketing marketing,evaluation,8.17
manager marketing sales,R,100.0
manager marketing sales,GAN,100.0
manager marketing sales,product,25.91
manager marketing sales,management,15.41
manager marketing sales,price,11.5
manager marketing sales,systems,7.34
manager marketing sales,management inventory management,7.04
manager marketing sales,software,6.97
manager marketing sales,management inventory,6.89
manager marketing sales,office,6.63
manager operator,R,100.0
manager operator,Excel,100.0
manager operator,leadership,18.77
manager operator,operations,13.4
manager operator,management,11.96
manager operator,shift,9.96
manager operator,operational,8.66
manager operator,safety,8.18
manager operator,teamwork,8.07
manager operator,schedule,7.43
manager programmer,R,100.0
manager programmer,systems,11.49
manager programmer,software,10.91
manager programmer,general ledger,10.9
manager programmer,payable,10.56
manager programmer,account payable,10.56
manager programmer,ledger,10.35
manager programmer,daily,9.87
manager programmer,resources,8.93
manager programmer,task,8.42
manager researcher,R,100.0
manager researcher,screen,12.27
manager researcher,source,11.86
manager researcher,ethic,10.75
manager researcher,package,10.46
manager researcher,accuracy,10.19
manager researcher,crm,9.8
manager researcher,strategy,9.18
manager researcher,client,8.77
manager researcher,ms,8.58
manager sales,Tableau,100.0
manager sales,Matrix,100.0
manager sales,Excel,100.0
manager sales,Ethics,100.0
manager sales,Google Cloud,100.0
manager sales,adobe,100.0
manager sales,AWS,100.0
manager sales,SQL,100.0
manager sales,R,100.0
manager sales,IBM,100.0
manager sales manager,R,100.0
manager sales manager,sales,36.43
manager sales manager,sales management,8.43
manager sales manager,analysis,7.9
manager sales manager,financial analysis,7.1
manager sales manager,competitive,7.05
manager sales manager,strategies,6.95
manager sales manager,track,6.77
manager sales manager,new,6.69
manager sales manager,forecast,6.4
manager sales marketing,R,100.0
manager sales marketing,management,18.73
manager sales marketing,sales,12.61
manager sales marketing,market,10.51
manager sales marketing,development,9.06
manager sales marketing,business,9.06
manager sales marketing,communication,8.36
manager sales marketing,management business,8.0
manager sales marketing,platforms,8.0
manager sales marketing,crm,7.95
marketing,Regression,100.0
marketing,Sustainability,100.0
marketing,Tableau,100.0
marketing,Pattern,100.0
marketing,Hadoop,100.0
marketing,Matrix,100.0
marketing,Excel,100.0
marketing,Spark,100.0
marketing,Ethics,100.0
marketing,Google Cloud,100.0
marketing accountant,R,100.0
marketing accountant,Excel,100.0
marketing accountant,account,17.56
marketing accountant,invoice,9.87
marketing accountant,bachelor degree account,9.62
marketing accountant,degree account,9.46
marketing accountant,analysis,9.34
marketing accountant,budget forecast,9.3
marketing accountant,analysis financial,9.23
marketing accountant,purchase,8.68
marketing administrator,R,100.0
marketing administrator,adobe,100.0
marketing administrator,GAN,100.0
marketing administrator,market,28.36
marketing administrator,campaign,12.11
marketing administrator,display,9.21
marketing administrator,automation,8.78
marketing administrator,digital market,7.89
marketing administrator,email,7.07
marketing administrator,management,6.94
marketing analyst,Regression,100.0
marketing analyst,Tableau,100.0
marketing analyst,Pattern,100.0
marketing analyst,Principal Component Analysis,100.0
marketing analyst,Excel,100.0
marketing analyst,BigQuery,100.0
marketing analyst,Google Cloud,100.0
marketing analyst,adobe,100.0
marketing analyst,AWS,100.0
marketing analyst,SQL,100.0
marketing analyst analyst,R,100.0
marketing analyst analyst,Excel,100.0
marketing analyst analyst,market,22.86
marketing analyst analyst,media,17.72
marketing analyst analyst,pay,11.74
marketing analyst analyst,analysis,7.29
marketing analyst analyst,digital market,7.21
marketing analyst analyst,advertise,6.99
marketing analyst analyst,online,6.59
marketing analyst analyst,content,6.55
marketing analyst manager,R,100.0
marketing analyst manager,Tableau,100.0
marketing analyst manager,SQL,100.0
marketing analyst manager,data,17.79
marketing analyst manager,market,13.8
marketing analyst manager,campaign,13.36
marketing analyst manager,management,9.57
marketing analyst manager,report,8.12
marketing analyst manager,clean,7.97
marketing analyst manager,business,7.94
marketing analyst marketing,R,100.0
marketing analyst marketing,Excel,100.0
marketing analyst marketing,strategy,14.58
marketing analyst marketing,finance,13.71
marketing analyst marketing,excel,10.66
marketing analyst marketing,microsoft,10.1
marketing analyst marketing,management client,9.27
marketing analyst marketing,solve communication,8.48
marketing analyst marketing,selfmotivation,8.48
marketing analyst marketing,problem solve communication,8.48
marketing consultant,Regression,100.0
marketing consultant,Tableau,100.0
marketing consultant,GAN,100.0
marketing consultant,Excel,100.0
marketing consultant,adobe,100.0
marketing consultant,AWS,100.0
marketing consultant,SQL,100.0
marketing consultant,Decision Tree,100.0
marketing consultant,R,100.0
marketing consultant,IBM,100.0
marketing consultant sales,R,100.0
marketing consultant sales,sales,18.36
marketing consultant sales,goals,14.48
marketing consultant sales,market,13.11
marketing consultant sales,platforms,11.64
marketing consultant sales,display,8.04
marketing consultant sales,passion,7.18
marketing consultant sales,sales experience,6.94
marketing consultant sales,stress,6.83
marketing consultant sales,revenue,6.83
marketing data,R,100.0
marketing data,adobe,100.0
marketing data,Python,100.0
marketing data,Tableau,100.0
marketing data,Power BI,100.0
marketing data,SQL,100.0
marketing data,Excel,100.0
marketing data,data,21.19
marketing data,market,15.6
marketing data,business,11.81
marketing data analyst,Sustainability,100.0
marketing data analyst,Tableau,100.0
marketing data analyst,Excel,100.0
marketing data analyst,BigQuery,100.0
marketing data analyst,Google Cloud,100.0
marketing data analyst,adobe,100.0
marketing data analyst,AWS,100.0
marketing data analyst,SQL,100.0
marketing data analyst,R,100.0
marketing data analyst,Python,100.0
marketing data manager,R,100.0
marketing data manager,adobe,100.0
marketing data manager,Tableau,100.0
marketing data manager,Power BI,100.0
marketing data manager,Excel,100.0
marketing data manager,SQL,100.0
marketing data manager,data,17.48
marketing data manager,analytics,11.98
marketing data manager,market,11.29
marketing data manager,business,9.74
marketing designer,R,100.0
marketing designer,adobe,100.0
marketing designer,Excel,100.0
marketing designer,GAN,100.0
marketing designer,market,19.89
marketing designer,creative,14.6
marketing designer,adobe,12.46
marketing designer,digital,8.86
marketing designer,brand,8.43
marketing designer,portfolio,7.72
marketing developer,R,100.0
marketing developer,adobe,100.0
marketing developer,GAN,100.0
marketing developer,SQL,100.0
marketing developer,Excel,100.0
marketing developer,market,15.6
marketing developer,email,13.77
marketing developer,content,11.17
marketing developer,salesforce,10.66
marketing developer,automation,10.26
marketing manager,Regression,100.0
marketing manager,Sustainability,100.0
marketing manager,Tableau,100.0
marketing manager,chatbot,100.0
marketing manager,Pattern,100.0
marketing manager,Hadoop,100.0
marketing manager,Matrix,100.0
marketing manager,Excel,100.0
marketing manager,Ethics,100.0
marketing manager,Google Cloud,100.0
marketing manager data,R,100.0
marketing manager data,data,23.88
marketing manager data,platforms,13.7
marketing manager data,customer,9.58
marketing manager data,onboarding,8.91
marketing manager data,advertise,7.86
marketing manager data,online,7.42
marketing manager data,strategic plan,7.37
marketing manager data,management,7.13
marketing manager data,technologies,7.12
marketing manager manager,R,100.0
marketing manager manager,Excel,100.0
marketing manager manager,GAN,100.0
marketing manager manager,management,18.38
marketing manager manager,market,15.9
marketing manager manager,resource management,9.1
marketing manager manager,management budget,8.56
marketing manager manager,vendor management,8.49
marketing manager manager,digital market,8.36
marketing manager manager,advertise,8.1
marketing manager marketing,R,100.0
marketing manager marketing,adobe,100.0
marketing manager marketing,GAN,100.0
marketing manager marketing,market,27.38
marketing manager marketing,management,16.27
marketing manager marketing,media,11.79
marketing manager marketing,digital market,8.22
marketing manager marketing,adobe,7.04
marketing manager marketing,business,6.75
marketing manager marketing,digital,6.5
marketing manager sales,R,100.0
marketing manager sales,market,30.5
marketing manager sales,sales,12.01
marketing manager sales,brand,11.31
marketing manager sales,strategy,9.45
marketing manager sales,experience sales,6.61
marketing manager sales,experience,6.3
marketing manager sales,sales experience,6.06
marketing manager sales,management data analysis,5.96
marketing manager sales,share,5.92
marketing manager sales marketing,R,100.0
marketing manager sales marketing,market,24.7
marketing manager sales marketing,opportunities,13.96
marketing manager sales marketing,lead generation,8.33
marketing manager sales marketing,initiatives,8.26
marketing manager sales marketing,events,7.67
marketing manager sales marketing,collaborative,7.67
marketing manager sales marketing,write verbal communication,7.49
marketing manager sales marketing,remote,7.38
marketing manager sales marketing,brand,7.33
marketing marketing,R,100.0
marketing marketing,Excel,100.0
marketing marketing,market,23.41
marketing marketing,content,13.41
marketing marketing,management,11.9
marketing marketing,digital market,9.84
marketing marketing,generation,8.16
marketing marketing,digital,7.78
marketing marketing,demand,7.5
marketing marketing,development,6.73
marketing researcher,Regression,100.0
marketing researcher,R,100.0
marketing researcher,Matrix,100.0
marketing researcher,GAN,100.0
marketing researcher,research,24.68
marketing researcher,survey,14.79
marketing researcher,data,8.46
marketing researcher,development,8.33
marketing researcher,web,8.07
marketing researcher,clean,7.8
marketing sales,R,100.0
marketing sales,adobe,100.0
marketing sales,SAS,100.0
marketing sales,GAN,100.0
marketing sales,Excel,100.0
marketing sales,Ethics,100.0
marketing sales,market,22.24
marketing sales,digital,13.49
marketing sales,sales,12.0
marketing sales,digital market,10.9
marketing sales analyst,R,100.0
marketing sales analyst,Tableau,100.0
marketing sales analyst,Power BI,100.0
marketing sales analyst,Excel,100.0
marketing sales analyst,GAN,100.0
marketing sales analyst,market,17.53
marketing sales analyst,management,14.59
marketing sales analyst,data,10.85
marketing sales analyst,brand,10.4
marketing sales analyst,report,9.28
marketing sales consultant,R,100.0
marketing sales consultant,adobe,100.0
marketing sales consultant,digital market,12.56
marketing sales consultant,advertise,12.18
marketing sales consultant,market,11.96
marketing sales consultant,adobe,10.75
marketing sales consultant,media,10.3
marketing sales consultant,digital,9.94
marketing sales consultant,customer service,8.58
marketing sales consultant,sales,8.37
marketing sales manager,R,100.0
marketing sales manager,adobe,100.0
marketing sales manager,Excel,100.0
marketing sales manager,GAN,100.0
marketing sales manager,market,16.92
marketing sales manager,sales,14.21
marketing sales manager,microsoft,10.17
marketing sales manager,brand,10.04
marketing sales manager,us,9.9
marketing sales manager,acquisition,9.76
operator,Sustainability,100.0
operator,Pattern,100.0
operator,Hadoop,100.0
operator,Matrix,100.0
operator,Django,100.0
operator,Threats,100.0
operator,Excel,100.0
operator,Spark,100.0
operator,Ethics,100.0
operator,Flask,100.0
operator administrator,R,100.0
operator administrator,support,19.27
operator administrator,health,13.99
operator administrator,mental health,11.04
operator administrator,mental,10.37
operator administrator,scheme,10.08
operator administrator,care,8.71
operator administrator,warehouse,8.19
operator administrator,access,7.59
operator administrator,retail experience,5.52
operator analyst,R,100.0
operator analyst,certification,19.35
operator analyst,language,16.2
operator analyst,communications,11.82
operator analyst,collection,11.25
operator analyst,products,10.08
operator analyst,intelligence,9.57
operator analyst,analyst,5.87
operator analyst,clearance,5.66
operator analyst,databases,5.47
operator data,R,100.0
operator data,center,14.77
operator data,troubleshoot,13.19
operator data,maintenance,12.43
operator data,inventory control,9.53
operator data,installation,8.77
operator data,hardware,8.69
operator data,incident,8.53
operator data,distribution,8.24
operator data,electrical,8.1
operator developer,R,100.0
operator developer,Python,100.0
operator developer,Cybersecurity,100.0
operator developer,network,24.41
operator developer,experience,15.32
operator developer,operations,12.72
operator developer,computer,11.24
operator developer,tool,8.02
operator developer,engineer,7.71
operator developer,science,5.32
operator manager,R,100.0
operator manager,GAN,100.0
operator manager,truck,12.53
operator manager,repair,11.03
operator manager,plant,10.92
operator manager,inspection,10.82
operator manager,operation,9.89
operator manager,supervision,9.58
operator manager,communication organization,9.5
operator manager,production,8.89
operator operator,R,100.0
operator operator,GAN,100.0
operator operator,Excel,100.0
operator operator,safety,15.19
operator operator,machine,14.32
operator operator,maintenance,13.24
operator operator,equipment,11.02
operator operator,repair,10.19
operator operator,experience,7.78
operator operator,troubleshoot,7.44
operator programmer,R,100.0
operator programmer,IBM,100.0
operator programmer,Excel,100.0
operator programmer,GAN,100.0
operator programmer,machine,21.58
operator programmer,autocad,14.22
operator programmer,maintenance,9.98
operator programmer,organizational,8.76
operator programmer,program,8.17
operator programmer,management safety,8.13
programmer,Regression,100.0
programmer,Tableau,100.0
programmer,Pattern,100.0
programmer,Matrix,100.0
programmer,Django,100.0
programmer,MongoDB,100.0
programmer,Flask,100.0
programmer,Excel,100.0
programmer,Spark,100.0
programmer,Google Cloud,100.0
programmer analyst,Regression,100.0
programmer analyst,Tableau,100.0
programmer analyst,Pattern,100.0
programmer analyst,Hadoop,100.0
programmer analyst,MongoDB,100.0
programmer analyst,Flask,100.0
programmer analyst,Excel,100.0
programmer analyst,Spark,100.0
programmer analyst,Ethics,100.0
programmer analyst,STATA,100.0
programmer analyst consultant,R,100.0
programmer analyst consultant,Tableau,100.0
programmer analyst consultant,Power BI,100.0
programmer analyst consultant,SQL,100.0
programmer analyst consultant,Excel,100.0
programmer analyst consultant,power,21.72
programmer analyst consultant,access,11.78
programmer analyst consultant,microsoft,11.75
programmer analyst consultant,certification,11.23
programmer analyst consultant,excel,8.26
programmer analyst data,R,100.0
programmer analyst data,Python,100.0
programmer analyst data,SQL,100.0
programmer analyst data,data,23.46
programmer analyst data,systems,12.01
programmer analyst data,storage,10.04
programmer analyst data,data model,8.51
programmer analyst data,warehouse,8.45
programmer analyst data,integration,7.74
programmer analyst data,bi,7.65
programmer analyst developer,R,100.0
programmer analyst developer,SQL,100.0
programmer analyst developer,java,22.79
programmer analyst developer,salesforce,14.4
programmer analyst developer,sql,11.52
programmer analyst developer,framework,8.11
programmer analyst developer,interview,7.93
programmer analyst developer,erp,7.39
programmer analyst developer,enterprise,7.11
programmer analyst developer,implementation,7.02
programmer consultant,R,100.0
programmer consultant,GAN,100.0
programmer consultant,software,16.68
programmer consultant,user,15.01
programmer consultant,specifications,9.04
programmer consultant,best practice,8.84
programmer consultant,best,8.77
programmer consultant,software development,8.47
